index,tweet_id,retweet_status_id,status_id_from_media_url
105,872261713294495745,-1,872261713294495745
254,844704788403113984,-1,844704788403113984
933,754011816964026368,-1,754011816964026368
1727,680055455951884288,-1,680055455951884288
